order_id,lng,lat,depot_lat,depot_lng,vehicle_num,dlvr_seq_num
1507929.0,126.54484,43.84685,126.5445,43.8502,1,1
2942539.0,126.54089,43.84308,126.5445,43.8502,1,2
21394.0,126.54469,43.84056,126.5445,43.8502,1,3
3731521.0,126.54651,43.8422,126.5445,43.8502,1,4
3518119.0,126.5552,43.8472,126.5445,43.8502,1,5
3846410.0,126.5565,43.84634,126.5445,43.8502,1,6
1819621.0,126.55913,43.84127,126.5445,43.8502,1,7
511292.0,126.56568,43.84987,126.5445,43.8502,1,8
2628380.0,126.5628,43.85554,126.5445,43.8502,1,9
720049.0,126.55835,43.85397,126.5445,43.8502,1,10
3131184.0,126.53544,43.83586,126.5445,43.8502,1,11
2556635.0,126.53566,43.82912,126.5445,43.8502,1,12
736639.0,126.53486,43.82793,126.5445,43.8502,1,13
393542.0,126.52712,43.8274,126.5445,43.8502,1,14
1717642.0,126.52799,43.82267,126.5445,43.8502,1,15
3806465.0,126.52507,43.82184,126.5445,43.8502,1,16
410698.0,126.52634,43.81835,126.5445,43.8502,1,17
3199135.0,126.51849,43.81664,126.5445,43.8502,1,18
2234840.0,126.51653,43.81547,126.5445,43.8502,1,19
2681638.0,126.51366,43.82348,126.5445,43.8502,1,20
504164.0,126.51028,43.82592,126.5445,43.8502,1,21
3259842.0,126.51983,43.82474,126.5445,43.8502,1,22
1142156.0,126.52478,43.83859,126.5445,43.8502,1,23
2940144.0,126.50244,43.80999,126.5445,43.8502,1,24
3619717.0,126.49256,43.81104,126.5445,43.8502,1,25
1765501.0,126.54566,43.84274,126.5445,43.8502,2,1
73659.0,126.54089,43.84229,126.5445,43.8502,2,2
2654626.0,126.54036,43.8412,126.5445,43.8502,2,3
2017561.0,126.54216,43.84027,126.5445,43.8502,2,4
2378534.0,126.54318,43.83759,126.5445,43.8502,2,5
2632398.0,126.55066,43.83945,126.5445,43.8502,2,6
3885859.0,126.55553,43.8452,126.5445,43.8502,2,7
2512547.0,126.55501,43.84821,126.5445,43.8502,2,8
3984733.0,126.55724,43.85006,126.5445,43.8502,2,9
410277.0,126.55891,43.84739,126.5445,43.8502,2,10
4137934.0,126.56581,43.84589,126.5445,43.8502,2,11
3700735.0,126.56152,43.84231,126.5445,43.8502,2,12
279491.0,126.56597,43.85418,126.5445,43.8502,2,13
1234559.0,126.53055,43.83118,126.5445,43.8502,2,14
2452372.0,126.52523,43.82733,126.5445,43.8502,2,15
1850418.0,126.52391,43.82484,126.5445,43.8502,2,16
3501247.0,126.52302,43.82286,126.5445,43.8502,2,17
1039584.0,126.5237,43.82061,126.5445,43.8502,2,18
1766686.0,126.52705,43.82199,126.5445,43.8502,2,19
2644638.0,126.52078,43.8179,126.5445,43.8502,2,20
629041.0,126.51801,43.81575,126.5445,43.8502,2,21
3868042.0,126.51441,43.81535,126.5445,43.8502,2,22
741503.0,126.51703,43.81989,126.5445,43.8502,2,23
3794347.0,126.51461,43.82125,126.5445,43.8502,2,24
2130140.0,126.49753,43.81582,126.5445,43.8502,2,25
